Designator,Mid X,Mid Y,Rotation,Layer
D1,51.0,-47.5,90.0,bottom
D10,214.63,-42.1,90.0,bottom
D11,233.68,-42.1,90.0,bottom
D12,252.73,-42.1,90.0,bottom
D13,43.18,-61.15,90.0,bottom
D14,62.23,-61.15,90.0,bottom
D15,81.28,-61.15,90.0,bottom
D16,100.33,-61.15,90.0,bottom
D17,119.38,-61.15,90.0,bottom
D18,138.43,-61.15,90.0,bottom
D19,157.48,-61.15,90.0,bottom
D2,62.23,-42.1,90.0,bottom
D20,176.53,-61.15,90.0,bottom
D21,195.58,-61.15,90.0,bottom
D22,214.63,-61.15,90.0,bottom
D23,233.68,-61.15,90.0,bottom
D24,252.73,-61.15,90.0,bottom
D25,43.18,-80.2,90.0,bottom
D26,62.23,-80.2,90.0,bottom
D27,81.28,-80.2,90.0,bottom
D28,100.33,-80.2,90.0,bottom
D29,119.38,-80.2,90.0,bottom
D3,81.28,-42.1,90.0,bottom
D30,138.43,-80.2,90.0,bottom
D31,157.48,-80.2,90.0,bottom
D32,176.53,-80.2,90.0,bottom
D33,195.58,-80.2,90.0,bottom
D34,214.63,-80.2,90.0,bottom
D35,233.68,-80.2,90.0,bottom
D36,252.73,-80.2,90.0,bottom
D37,43.18,-99.25,90.0,bottom
D38,62.23,-99.25,90.0,bottom
D39,81.28,-99.25,90.0,bottom
D4,100.33,-42.1,90.0,bottom
D40,100.33,-99.25,90.0,bottom
D41,119.38,-99.25,90.0,bottom
D42,147.955,-99.25,90.0,bottom
D43,176.53,-99.25,90.0,bottom
D45,195.58,-99.25,90.0,bottom
D46,214.63,-99.25,90.0,bottom
D47,233.68,-99.25,90.0,bottom
D48,252.73,-99.25,90.0,bottom
D5,119.38,-42.1,90.0,bottom
D6,138.43,-42.1,90.0,bottom
D7,157.48,-42.1,90.0,bottom
D8,176.53,-42.1,90.0,bottom
D9,195.58,-42.1,90.0,bottom
R1,47.25,-60.25,0.0,bottom
R2,47.25,-63.2,0.0,bottom
SW1,38.1,-38.1,0.0,top
SW10,209.55,-38.1,0.0,top
SW11,228.6,-38.1,0.0,top
SW12,247.65,-38.1,0.0,top
SW13,38.1,-57.15,0.0,top
SW14,57.15,-57.15,0.0,top
SW15,76.2,-57.15,0.0,top
SW16,95.25,-57.15,0.0,top
SW17,114.3,-57.15,0.0,top
SW18,133.35,-57.15,0.0,top
SW19,152.4,-57.15,0.0,top
SW2,57.15,-38.1,0.0,top
SW20,171.45,-57.15,0.0,top
SW21,190.5,-57.15,0.0,top
SW22,209.55,-57.15,0.0,top
SW23,228.6,-57.15,0.0,top
SW24,247.65,-57.15,0.0,top
SW25,38.1,-76.2,0.0,top
SW26,57.15,-76.2,0.0,top
SW27,76.2,-76.2,0.0,top
SW28,95.25,-76.2,0.0,top
SW29,114.3,-76.2,0.0,top
SW3,76.2,-38.1,0.0,top
SW30,133.35,-76.2,0.0,top
SW31,152.4,-76.2,0.0,top
SW32,171.45,-76.2,0.0,top
SW33,190.5,-76.2,0.0,top
SW34,209.55,-76.2,0.0,top
SW35,228.6,-76.2,0.0,top
SW36,247.65,-76.2,0.0,top
SW37,38.1,-95.25,0.0,top
SW38,57.15,-95.25,0.0,top
SW39,76.2,-95.25,0.0,top
SW4,95.25,-38.1,0.0,top
SW40,95.25,-95.25,0.0,top
SW41,114.3,-95.25,0.0,top
SW42,142.875,-95.25,0.0,top
SW43,171.45,-95.25,0.0,top
SW45,190.5,-95.25,0.0,top
SW46,209.55,-95.25,0.0,top
SW47,228.6,-95.25,0.0,top
SW48,247.65,-95.25,0.0,top
SW5,114.3,-38.1,0.0,top
SW6,133.35,-38.1,0.0,top
SW7,152.4,-38.1,0.0,top
SW8,171.45,-38.1,0.0,top
SW9,190.5,-38.1,0.0,top
TP1,52.5,-62.0,0.0,bottom
TP2,34.5,-62.75,0.0,bottom
U3,39.745,-39.0725,90.0,bottom
